galid,ra,dec,mag,sed_name,z,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,catsim_id
29077793632283,52.7623752,-27.2722889,22.4881818,galaxySED/Exp.25E09.04Z.spec.gz,2.35,sersic2d,0.342844486,0.273435712,324.252045,1,28396282844
29077793633307,52.7625838,-27.2721525,22.8888936,galaxySED/Exp.25E09.04Z.spec.gz,2.35,sersic2d,0.342844486,0.273435712,324.252045,1,28396282845
29077793634331,52.762218,-27.2720739,23.0309169,galaxySED/Exp.25E09.04Z.spec.gz,2.35,sersic2d,0.342844486,0.273435712,324.252045,1,28396282846
29077793635355,52.7624582,-27.2718989,22.676965,galaxySED/Exp.25E09.04Z.spec.gz,2.35,sersic2d,0.342844486,0.273435712,324.252045,1,28396282847
29488395182107,52.9512801,-27.5137484,24.2000748,galaxySED/Const.62E09.04Z.spec.gz,3.44,sersic2d,0.488587499,0.362359494,56.757988,1,28797260920
29488395183131,52.9517287,-27.5134179,23.2403722,galaxySED/Const.62E09.04Z.spec.gz,3.44,sersic2d,0.488587499,0.362359494,56.757988,1,28797260921
29651416145947,52.9884196,-27.3976831,22.7833838,galaxySED/Const.62E09.04Z.spec.gz,2.26,sersic2d,0.612052083,0.463415086,45.666584,1,28956461080
29651416146971,52.9880669,-27.3967573,22.0324805,galaxySED/Const.62E09.04Z.spec.gz,2.26,sersic2d,0.612052083,0.463415086,45.666584,1,28956461081
29909893857307,52.865227,-27.2589805,21.6674321,galaxySED/Exp.16E09.1Z.spec.gz,1.63,sersic2d,0.389370114,0.082224898,223.873062,1,29208880720
29909893858331,52.8656802,-27.2588921,21.1920789,galaxySED/Exp.16E09.1Z.spec.gz,1.63,sersic2d,0.389370114,0.082224898,223.873062,1,29208880721
29919785594907,52.8237707,-27.4262075,23.9616959,galaxySED/Burst.16E09.02Z.spec.gz,0.86,sersic2d,0.330873996,0.163384393,164.142822,1,29218540620
29919785595931,52.8230855,-27.4261215,23.6114768,galaxySED/Burst.16E09.02Z.spec.gz,0.86,sersic2d,0.330873996,0.163384393,164.142822,1,29218540621
29919785596955,52.8236483,-27.4257271,21.8423199,galaxySED/Burst.16E09.02Z.spec.gz,0.86,sersic2d,0.330873996,0.163384393,164.142822,1,29218540622
29919785597979,52.82375,-27.4257642,21.7077893,galaxySED/Burst.16E09.02Z.spec.gz,0.86,sersic2d,0.330873996,0.163384393,164.142822,1,29218540623
30781379153947,53.0433162,-27.3047791,24.455416,galaxySED/Const.50E09.04Z.spec.gz,2.69,sersic2d,0.768730104,0.595122993,72.5618515,1,30059940580
30781379154971,53.0433827,-27.3046091,24.0513343,galaxySED/Const.50E09.04Z.spec.gz,2.69,sersic2d,0.768730104,0.595122993,72.5618515,1,30059940581
32073279549467,52.9701843,-27.554731,22.3233193,galaxySED/Inst.50E07.1Z.spec.gz,1.44,sersic2d,0.270570904,0.0701839998,178.437225,1,31321562060
