prefix,uniqueId,raPhoSim,decPhoSim,phoSimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,internalExtinctionModel,internalAv,internalRv,galacticExtinctionModel,galacticAv,galacticRv
object,16719654938,52.9655989,-27.1663852,21.2061123,galaxySED/Inst.20E09.02Z.spec.gz,0.622,0,0,0,0,0,sersic2d,3.01075327e-06,2.08416354e-06,0.856407059,4,CCM,0.0,3.0999999,CCM,0.0228287283,3.1
object,16940769306,53.298486,-27.3237397,22.2753758,galaxySED/Burst.50E09.04Z.spec.gz,1.184,0,0,0,0,0,sersic2d,3.62944015e-06,3.02850031e-06,2.44904775,4,CCM,0.100000001,3.0999999,CCM,0.023689316,3.1
object,17168862234,53.1150219,-27.4871415,24.6638817,galaxySED/Inst.25E09.02Z.spec.gz,1.4,0,0,0,0,0,sersic2d,9.99477378e-07,6.88577046e-07,0.722298577,4,CCM,0.0,3.0999999,CCM,0.0285452803,3.1
object,17434929178,52.8481813,-27.2936217,21.0066246,galaxySED/Inst.40E09.04Z.spec.gz,0.374,0,0,0,0,0,sersic2d,3.27787101e-06,2.26386587e-06,2.41651307,4,CCM,0.0,3.0999999,CCM,0.0317656475,3.1
object,17601890330,53.098705,-27.2689133,20.765736,galaxySED/Burst.25E09.02Z.spec.gz,0.552,0,0,0,0,0,sersic2d,1.20336823e-05,5.86448992e-06,0.95750159,4,CCM,0.0,3.0999999,CCM,0.020577325,3.1
object,17650480154,52.9867741,-27.1901356,22.9690651,galaxySED/Inst.32E09.04Z.spec.gz,0.866,0,0,0,0,0,sersic2d,1.61227942e-06,9.42833918e-07,2.28209479,4,CCM,0.0,3.0999999,CCM,0.0225017247,3.1
object,17738957850,53.0472531,-27.6003991,19.8380455,galaxySED/Burst.62E09.04Z.spec.gz,0.302,0,0,0,0,0,sersic2d,3.72068941e-06,2.69545902e-06,1.59267769,4,CCM,0.100000001,3.0999999,CCM,0.0292909524,3.1
object,17771249690,52.9980068,-27.6130796,22.4778618,galaxySED/Inst.40E09.04Z.spec.gz,1.29,0,0,0,0,0,sersic2d,8.28964804e-06,7.26328931e-06,-3.05649913,4,CCM,0.0,3.0999999,CCM,0.0279241586,3.1
object,17782159386,53.1382659,-27.6592615,20.7879643,galaxySED/Exp.80E09.02Z.spec.gz,0.45,0,0,0,0,0,sersic2d,1.90625488e-06,1.81947389e-06,2.83620018,4,CCM,0.100000001,3.0999999,CCM,0.029395982,3.1
object,17811740698,53.0517357,-27.508834,21.2061123,galaxySED/Inst.20E09.02Z.spec.gz,0.622,0,0,0,0,0,sersic2d,3.01075327e-06,2.08416354e-06,0.856407059,4,CCM,0.0,3.0999999,CCM,0.0284278057,3.1
object,17811828762,53.0828088,-27.4317769,24.3225178,galaxySED/Burst.25E09.02Z.spec.gz,1.578,0,0,0,0,0,sersic2d,1.09069667e-06,8.52568904e-07,1.94084103,4,CCM,0.100000001,3.0999999,CCM,0.0252712432,3.1
object,17818727450,52.9774032,-27.275958,23.0317597,galaxySED/Burst.25E09.1Z.spec.gz,0.72,0,0,0,0,0,sersic2d,8.87411954e-06,4.30103283e-06,1.7555691,4,CCM,0.200000003,3.0999999,CCM,0.0245919617,3.1
object,17819730970,52.7651824,-27.2395935,18.2376923,galaxySED/Inst.40E09.02Z.spec.gz,0.25,0,0,0,0,0,sersic2d,1.13429971e-05,8.60986675e-06,2.73626437,4,CCM,0.0,3.0999999,CCM,0.034076349,3.1
object,17822678042,53.1003317,-27.6779406,18.8982987,galaxySED/Inst.50E09.04Z.spec.gz,0.27,0,0,0,0,0,sersic2d,3.74480498e-06,3.56024478e-06,-1.01242291,4,CCM,0.0,3.0999999,CCM,0.0295322665,3.1
